time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2018-08-25,territory,yk,0.0,0.0
2018-04-07,region,territories,3.85,15.38
2018-04-14,region,prairies,6.29,11.09
2017-09-16,region,prairies,0.0,1.53
2018-04-14,region,atlantic,9.02,25.44
2018-04-14,province,qc,7.32,10.63
2018-04-14,province,on,2.61,17.09
2018-04-14,province,bc,6.36,20.17
2018-04-14,nation,ca,6.29,14.52
2017-09-16,region,territories,0.0,0.0
2018-04-21,nation,ca,5.48,11.93
2018-04-07,region,prairies,6.19,13.49
2018-04-07,region,atlantic,14.27,28.94
2018-04-07,province,qc,6.56,14.86
2018-04-07,province,on,3.09,16.95
2018-04-07,province,bc,3.98,24.7
2018-04-07,nation,ca,6.42,17.2
2018-03-31,region,territories,8.7,30.44
2018-04-14,region,territories,7.89,18.42
2018-04-21,province,bc,12.03,10.16
2018-07-14,province,bc,0.0,0.83
2018-04-28,province,qc,4.4,6.4
2018-05-05,province,on,1.88,6.53
2018-05-05,province,bc,2.46,7.39
2018-05-05,nation,ca,3.27,7.87
2018-04-28,region,territories,0.0,0.0
2018-04-28,region,prairies,5.31,7.58
2018-04-28,region,atlantic,9.59,26.98
2017-09-16,province,qc,1.29,0.39
2018-04-28,province,on,2.93,9.8
2018-04-21,province,on,2.35,12.45
2018-04-28,province,bc,3.0,12.32
2018-04-28,nation,ca,4.84,10.27
2018-04-21,region,territories,4.55,4.55
2018-04-21,region,prairies,6.15,8.2
2018-04-21,region,atlantic,7.45,30.35
2017-09-16,region,atlantic,2.63,0.0
2018-04-21,province,qc,5.98,8.68
2017-09-23,nation,ca,0.8,2.36
2018-03-31,region,prairies,7.1,13.8
2018-03-31,region,atlantic,11.31,30.39
2017-09-23,region,atlantic,0.0,0.0
2017-09-23,province,qc,1.92,1.16
2018-03-10,region,territories,10.34,24.14
2018-03-10,region,prairies,5.54,18.86
2018-03-10,region,atlantic,11.67,30.89
2018-03-10,province,qc,6.86,29.46
2018-03-10,province,on,5.12,22.83
2018-03-10,province,bc,6.49,32.27
2018-03-10,nation,ca,6.81,26.72
2018-03-31,province,qc,7.42,16.49
2018-03-03,region,territories,21.21,24.24
2018-03-03,region,prairies,5.54,20.95
2018-03-03,region,atlantic,11.65,32.36
2018-03-03,province,qc,6.56,31.92
2018-03-03,province,on,4.78,26.79
2018-03-03,province,bc,6.47,30.75
2017-09-23,region,prairies,0.12,2.2
2018-03-17,nation,ca,6.95,23.75
2018-03-17,province,bc,6.7,29.64
2018-03-17,province,on,4.05,21.5
2018-03-17,province,qc,6.17,24.4
2018-03-31,province,on,2.78,18.87
2018-03-31,province,bc,6.42,23.79
2018-03-31,nation,ca,6.79,18.6
2018-03-24,region,territories,3.23,29.03
2017-09-23,province,bc,0.0,13.23
2018-03-24,region,prairies,7.63,16.57
2018-03-24,region,atlantic,9.74,25.11
2018-03-24,province,qc,7.22,18.5
2018-03-24,province,on,3.75,17.15
2018-03-24,province,bc,5.6,32.52
2018-03-24,nation,ca,6.75,19.74
2018-03-17,region,territories,9.76,14.28
2017-10-14,region,territories,0.0,10.52
2018-03-17,region,prairies,6.57,17.74
2018-03-17,region,atlantic,15.69,32.61
2018-05-05,province,qc,3.59,4.92
2017-09-16,province,on,0.29,3.17
2018-05-05,region,atlantic,5.13,20.81
2018-06-16,region,prairies,0.0,0.72
2018-06-23,region,atlantic,1.81,3.03
2018-06-23,province,qc,0.64,0.65
2018-06-23,province,on,1.05,0.17
2017-09-09,province,on,0.42,2.28
2018-06-23,province,bc,1.83,0.61
2018-06-23,nation,ca,0.83,0.64
2018-06-16,region,territories,0.0,0.0
2018-06-16,region,atlantic,3.23,2.79
2018-06-09,province,qc,1.33,0.88
2018-06-16,province,qc,0.79,0.75
2018-06-16,province,on,1.02,0.0
2017-09-09,province,qc,2.26,0.24
2018-06-16,province,bc,2.94,1.47
2018-06-16,nation,ca,0.97,0.81
2018-06-09,region,territories,0.0,4.76
2018-06-09,region,prairies,0.68,0.65
2018-06-23,region,prairies,0.31,0.45
2018-06-23,region,territories,0.0,0.0
2018-06-30,nation,ca,0.77,0.87
2018-06-30,province,bc,0.68,0.0
2018-07-14,nation,ca,0.47,0.52
2018-07-07,region,territories,0.0,0.0
2018-07-07,region,prairies,0.2,0.57
2018-07-07,region,atlantic,3.42,0.0
2018-07-07,province,qc,1.81,0.0
2018-07-07,province,on,0.42,0.85
2017-09-09,nation,ca,0.94,2.29
2018-07-07,province,bc,0.0,0.0
2018-07-07,nation,ca,0.92,0.42
2018-06-30,region,territories,0.0,0.0
2018-06-30,region,prairies,1.13,1.85
2018-06-30,region,atlantic,2.92,1.46
