time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2023-08-26,territory,yk,17.95,0.0,0.0
2023-05-27,nation,ca,9.23,0.4,1.64
2023-05-27,province,qc,8.69,0.67,2.24
2022-10-01,province,on,13.57,1.35,0.68
2023-05-27,province,on,9.15,0.27,1.56
2023-01-14,region,prairies,10.63,13.89,1.85
2023-02-11,province,on,12.38,3.21,0.75
2022-10-01,province,qc,13.22,7.69,0.31
2023-05-27,province,bc,11.08,0.25,1.08
2023-01-14,region,atlantic,17.07,7.41,2.49
2023-01-14,region,territories,8.53,4.32,5.56
2022-10-01,region,atlantic,23.17,3.06,0.44
2023-05-20,region,territories,5.77,5.81,19.77
2023-05-20,region,prairies,7.63,0.21,2.26
2023-01-14,province,qc,12.05,4.83,3.55
2022-10-01,region,prairies,17.55,0.73,0.62
2023-02-11,province,qc,11.59,3.84,1.45
2023-05-20,region,atlantic,15.63,1.11,0.8
2023-05-27,region,atlantic,14.11,0.9,0.32
2022-10-01,province,bc,9.65,0.65,1.33
2023-05-20,province,qc,8.49,0.92,2.75
2023-01-21,province,bc,11.47,11.76,1.12
2023-06-03,region,prairies,6.09,0.4,1.23
2022-09-24,region,atlantic,24.14,1.13,0.13
2023-01-21,province,on,14.33,5.13,0.84
2023-06-03,region,atlantic,12.13,1.0,0.07
2022-09-24,region,prairies,16.85,0.34,0.44
2023-06-03,province,qc,8.63,1.08,2.03
2023-06-03,province,on,8.59,0.16,1.59
2023-02-11,nation,ca,11.89,5.79,1.02
2023-05-27,region,prairies,7.55,0.08,1.6
2022-09-24,region,territories,10.43,1.49,1.49
2023-06-03,province,bc,10.06,0.26,1.42
2023-06-03,nation,ca,8.45,0.55,1.55
2022-10-01,nation,ca,14.45,2.11,0.71
2023-01-21,nation,ca,12.26,8.47,1.53
2023-02-11,province,bc,10.71,10.2,0.74
2023-05-27,region,territories,6.22,4.03,8.06
2022-10-01,region,territories,7.79,0.88,3.54
2023-01-14,province,on,15.4,7.09,1.37
2023-02-04,region,territories,5.81,11.88,0.0
2022-10-15,nation,ca,16.58,3.52,1.45
2022-10-08,region,prairies,16.55,0.64,0.91
2023-01-07,region,atlantic,18.1,8.98,4.93
2023-05-13,province,bc,13.92,0.49,0.54
2023-05-13,nation,ca,9.6,0.72,2.12
2022-10-08,region,territories,6.05,2.13,4.26
2023-01-07,province,qc,13.67,6.46,7.04
2023-05-06,region,territories,3.48,6.04,12.75
2023-05-06,region,prairies,9.98,0.45,2.72
2023-02-18,nation,ca,11.79,5.13,0.84
2023-01-07,province,on,17.96,7.99,3.11
2023-05-06,region,atlantic,14.69,1.92,0.45
2023-02-18,province,on,12.81,3.18,0.41
2022-10-15,province,bc,13.35,1.53,1.85
2023-05-06,province,qc,8.49,1.3,3.2
2023-01-07,province,bc,14.16,14.23,4.66
2022-10-15,province,on,17.02,2.46,1.89
2023-05-13,province,on,8.64,0.48,1.82
2023-01-07,region,prairies,11.46,15.96,3.22
2023-02-11,region,atlantic,18.18,7.42,0.13
2023-02-11,region,prairies,8.4,7.17,1.45
2023-05-20,province,on,8.51,0.54,1.95
2022-10-08,nation,ca,15.06,2.44,1.02
2023-01-14,province,bc,12.93,12.75,2.19
2023-05-20,province,bc,13.53,0.4,0.4
2022-10-08,province,bc,13.01,0.95,1.85
2023-05-20,nation,ca,9.33,0.61,2.06
2023-01-14,nation,ca,13.41,9.12,2.29
2023-05-13,region,territories,2.11,10.53,9.77
2022-10-08,region,atlantic,20.91,2.95,0.24
2022-10-08,province,on,14.46,1.92,1.07
2023-05-13,region,prairies,9.14,0.28,2.89
2023-05-13,region,atlantic,15.68,1.28,0.54
2022-10-08,province,qc,13.44,8.92,0.21
2023-01-07,region,territories,13.77,3.05,9.15
2023-02-11,region,territories,9.65,10.83,0.0
2023-05-13,province,qc,8.32,1.08,2.74
2023-06-03,region,territories,0.0,4.61,9.87
2023-01-21,province,qc,10.7,6.5,2.75
2023-01-07,nation,ca,15.09,10.4,4.66
2022-09-10,region,prairies,15.42,0.52,0.23
2023-07-08,region,territories,2.41,1.59,1.59
2023-07-08,region,prairies,3.01,0.07,0.68
2023-07-08,region,atlantic,9.14,0.95,0.28
2023-07-08,province,qc,5.58,0.51,0.41
2022-09-10,region,atlantic,22.81,0.64,0.0
2023-07-08,province,on,5.47,0.28,0.57
2023-07-08,province,bc,9.95,0.17,0.96
2023-01-28,province,bc,9.07,13.25,1.17
2023-01-28,province,on,13.27,4.62,0.72
2023-07-08,nation,ca,5.75,0.33,0.59
2023-07-01,region,territories,0.0,1.43,0.0
2023-07-01,region,prairies,3.94,0.06,0.66
2022-09-10,region,territories,10.86,5.81,0.0
2023-02-04,province,qc,10.53,5.72,1.62
2023-07-01,region,atlantic,7.82,0.68,0.23
2023-07-01,province,qc,5.83,0.7,0.72
2023-02-04,province,on,12.57,3.78,0.8
2022-09-10,province,qc,12.4,2.71,0.12
2022-09-17,nation,ca,12.73,1.05,0.25
2023-07-15,region,territories,0.0,1.52,1.52
2023-07-22,region,prairies,5.08,0.17,0.23
2023-07-22,region,atlantic,8.91,0.55,0.33
2023-07-22,province,qc,6.9,1.29,0.37
2022-09-10,nation,ca,13.07,1.12,0.18
2023-07-22,province,on,7.47,0.38,0.72
2023-07-22,province,bc,8.17,0.14,1.11
2023-07-22,nation,ca,6.94,0.48,0.54
2022-09-10,province,bc,7.44,0.73,0.29
2023-07-15,nation,ca,6.14,0.38,0.8
2023-01-28,province,qc,9.48,5.81,1.46
2023-07-15,region,prairies,3.57,0.17,0.52
2023-07-15,region,atlantic,10.13,0.19,0.09
2023-07-15,province,qc,5.38,0.81,0.27
2023-07-15,province,on,7.26,0.38,1.38
2022-09-10,province,on,12.04,1.0,0.18
2023-07-15,province,bc,8.24,0.24,1.56
2023-07-01,province,on,5.44,0.38,0.45
2023-01-28,nation,ca,11.35,7.97,1.06
2022-09-24,province,qc,13.36,5.56,0.26
2023-06-10,region,territories,1.39,4.55,1.82
2023-06-17,province,on,7.09,0.14,0.97
2022-09-17,region,territories,13.2,2.46,0.82
2023-06-17,province,bc,9.51,0.17,1.25
2023-06-17,nation,ca,6.69,0.32,1.04
2022-09-24,nation,ca,13.61,1.4,0.5
2023-01-21,region,atlantic,17.29,8.67,1.2
2023-02-04,region,prairies,8.89,10.04,1.36
2023-06-10,region,prairies,4.81,0.23,0.93
2023-01-21,region,prairies,9.01,12.38,1.41
2023-06-10,region,atlantic,15.17,0.64,0.19
2022-09-24,province,bc,6.99,0.33,1.25
2023-06-10,province,qc,7.42,0.55,1.54
2023-06-10,province,on,6.34,0.27,1.66
2022-09-24,province,on,12.35,0.98,0.38
